City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,sake,-1.5736,29.045,16.75,95,99,0.93,CD,1702260795
118,punta arenas,-53.15,-70.9167,6.06,70,0,1.03,CL,1702260796
119,puerto ayora,-0.7393,-90.3518,24.15,86,35,3.34,EC,1702260797
120,tazacorte,28.629,-17.9293,21.19,41,0,4.47,ES,1702260731
121,tazovsky,67.4667,78.7,-24.65,97,100,4.69,RU,1702260798
122,fale old settlement,-9.3852,-171.2468,28.85,77,96,6.93,TK,1702260798
123,ugoofaaru,5.6667,73.0,28.21,75,89,2.03,MV,1702260799
124,wafangdian,39.6183,122.0081,-8.36,44,100,6.11,CN,1702260799
125,taoudenni,22.6783,-3.9836,17.44,29,100,7.25,ML,1702260800
126,mount gambier,-37.8333,140.7667,16.66,90,100,5.92,AU,1702260518
127,howrah,22.5892,88.3103,17.0,82,0,0.0,IN,1702260801
128,orting,47.0979,-122.2043,11.69,94,100,0.0,US,1702260739
129,midvagur,62.0511,-7.1939,6.46,93,100,2.06,FO,1702260803
130,turkmenbasy,40.0222,52.9552,7.43,76,40,7.2,TM,1702260804
131,ulladulla,-35.35,150.4667,30.43,71,100,3.42,AU,1702260806
132,ogre,56.8162,24.614,-2.98,96,100,4.04,LV,1702260808
133,cabedelo,-6.9811,-34.8339,25.37,69,90,3.72,BR,1702260809
134,jamestown,42.097,-79.2353,3.08,91,100,4.12,US,1702260809
135,enewetak,11.3474,162.3373,27.73,76,98,8.22,MH,1702260810
136,robertsport,6.7533,-11.3686,27.29,82,97,3.15,LR,1702260810
137,papatowai,-46.5619,169.4708,18.0,40,81,6.86,NZ,1702260811
138,hamilton,39.1834,-84.5333,1.43,81,100,4.12,US,1702260637
139,curup,-3.4667,102.5333,25.07,71,99,0.65,ID,1702260812
140,bojia,26.4672,111.9681,10.6,81,100,3.4,CN,1702260812
141,zambezi,-13.5432,23.1047,19.13,94,100,1.13,ZM,1702260813
142,rabo de peixe,37.8,-25.5833,17.77,99,40,6.17,PT,1702260813
143,west island,-12.1568,96.8225,27.99,69,16,5.66,CC,1702260814
144,arraial do cabo,-22.9661,-42.0278,23.0,80,100,4.89,BR,1702260613
145,san antonio de pale,-1.4014,5.6325,27.36,79,97,5.98,GQ,1702260815
146,alaghsas,17.0187,8.0168,16.13,24,0,3.68,NE,1702260612
147,hermanus,-34.4187,19.2345,15.75,81,3,3.66,ZA,1702260816
148,novyy urgal,51.0736,132.5642,-24.47,75,12,1.48,RU,1702260816
149,valparaiso,-33.0393,-71.6273,14.8,88,40,2.06,CL,1702260664
